id,title,channel,categories,text_length,attachments_count,images_count,url,markdown_path
34,心理学会关于举办心理健康讲座和进行问卷调查的通知,公告通知,公告通知,570,0,2,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=34,suzhou_djg_site_crawl_2026-05-15\articles\34_心理学会关于举办心理健康讲座和进行问卷调查的通知.md
35,苏州市电化教育馆教职工全体大会实施细则（暂行）,工会之家,工会之家,3062,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=35,suzhou_djg_site_crawl_2026-05-15\articles\35_苏州市电化教育馆教职工全体大会实施细则（暂行）.md
36,中华全国总工会关于加强基层工会经费收支管理的通知,工会之家,工会之家,2829,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=36,suzhou_djg_site_crawl_2026-05-15\articles\36_中华全国总工会关于加强基层工会经费收支管理的通知.md
37,中华全国总工会关于《关于加强基层工会经费收支管理的通知》的补充通知,工会之家,工会之家,819,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=37,suzhou_djg_site_crawl_2026-05-15\articles\37_中华全国总工会关于《关于加强基层工会经费收支管理的通知》的补充通知.md
38,关于印发《苏州工会会员普惠工作方案》的通知,工会之家,工会之家,144,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=38,suzhou_djg_site_crawl_2026-05-15\articles\38_关于印发《苏州工会会员普惠工作方案》的通知.md
39,关于推进“苏州工会信息管理平台建设 和会员普惠服务工作”的通知,工会之家,工会之家,960,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=39,suzhou_djg_site_crawl_2026-05-15\articles\39_关于推进“苏州工会信息管理平台建设 和会员普惠服务工作”的通知.md
40,关于召开苏州市智慧校园示范校项目“促进教学方式转变组”现场观摩研讨会的通知,公告通知,公告通知,589,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=40,suzhou_djg_site_crawl_2026-05-15\articles\40_关于召开苏州市智慧校园示范校项目“促进教学方式转变组”现场观摩研讨会的通知.md
41,关于开展“好家庭·大家写”教职工家庭教育 优秀案例（故事）征集的通知,工会之家,工会之家,839,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=41,suzhou_djg_site_crawl_2026-05-15\articles\41_关于开展“好家庭·大家写”教职工家庭教育 优秀案例（故事）征集的通知.md
42,关于下达 2016 年度无偿献血工作计划的通知,工会之家,工会之家,650,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=42,suzhou_djg_site_crawl_2026-05-15\articles\42_关于下达 2016 年度无偿献血工作计划的通知.md
43,关于组织参观“智慧苏州展示中心”的通知,公告通知,公告通知,384,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=43,suzhou_djg_site_crawl_2026-05-15\articles\43_关于组织参观“智慧苏州展示中心”的通知.md
44,关于转发《关于转发国务院教育督导委员会办公室关于开展教育信息化工作专项督导检查的通知》的通知,公告通知,公告通知,359,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=44,suzhou_djg_site_crawl_2026-05-15\articles\44_关于转发《关于转发国务院教育督导委员会办公室关于开展教育信息化工作专项督导检查的通知》的通知.md
48,关于举行2016年苏州市数字化学习教学研讨会的通知,信息技能评比,TypeID 31,667,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=48,suzhou_djg_site_crawl_2026-05-15\articles\48_关于举行2016年苏州市数字化学习教学研讨会的通知.md
49,关于“2016年苏州市中小学电脑制作活动”作品报送的通知,信息技能评比,TypeID 31,624,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=49,suzhou_djg_site_crawl_2026-05-15\articles\49_关于“2016年苏州市中小学电脑制作活动”作品报送的通知.md
53,全市校园网络安全专项检查第二阶段通知,网络通告,网络通告,1461,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=53,suzhou_djg_site_crawl_2026-05-15\articles\53_全市校园网络安全专项检查第二阶段通知.md
54,华为参观,网络活动,网络活动,4,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=54,suzhou_djg_site_crawl_2026-05-15\articles\54_华为参观.md
68,关于苏州市直属学校申请城域网上网认证与IPV6城域网建设的通知,网络通告,网络通告,588,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=68,suzhou_djg_site_crawl_2026-05-15\articles\68_关于苏州市直属学校申请城域网上网认证与IPV6城域网建设的通知.md
69,中心机房,中心机房,中心机房,634,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=69,suzhou_djg_site_crawl_2026-05-15\articles\69_中心机房.md
70,关于开展“2016年苏州市中小学校优秀校园网站评比”,公告通知,公告通知,1384,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=70,suzhou_djg_site_crawl_2026-05-15\articles\70_关于开展“2016年苏州市中小学校优秀校园网站评比”.md
71,关于召开苏州市智慧校园示范校项目“职教组”现场观摩,公告通知,公告通知,614,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=71,suzhou_djg_site_crawl_2026-05-15\articles\71_关于召开苏州市智慧校园示范校项目“职教组”现场观摩.md
72,关于开展苏州市幼儿园“新视角 新体验”,公告通知,公告通知,666,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=72,suzhou_djg_site_crawl_2026-05-15\articles\72_关于开展苏州市幼儿园“新视角 新体验”.md
73,关于组织市区高考考点学校广播员培训的通知,公告通知,公告通知,391,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=73,suzhou_djg_site_crawl_2026-05-15\articles\73_关于组织市区高考考点学校广播员培训的通知.md
74,关于苏州市直属学校申请城域网上网认证与IPV6城域网建设,公告通知,公告通知,614,1,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=74,suzhou_djg_site_crawl_2026-05-15\articles\74_关于苏州市直属学校申请城域网上网认证与IPV6城域网建设.md
75,下一代互联网IPv6简介,网络通告,网络通告,5308,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=75,suzhou_djg_site_crawl_2026-05-15\articles\75_下一代互联网IPv6简介.md
76,苏州电信参观,网络活动,网络活动,22,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=76,suzhou_djg_site_crawl_2026-05-15\articles\76_苏州电信参观.md
78,苏州市“十二五”立项课题名单汇总表,教育信息化科研,TypeID 30,2212,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=78,suzhou_djg_site_crawl_2026-05-15\articles\78_苏州市“十二五”立项课题名单汇总表.md
80,苏州市数字化学习教学研讨会在苏州市金阊实验小学举行,教育信息化科研,TypeID 30,161,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=80,suzhou_djg_site_crawl_2026-05-15\articles\80_苏州市数字化学习教学研讨会在苏州市金阊实验小学举行.md
82,苏州教育云平台,网络活动,网络活动,0,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=82,suzhou_djg_site_crawl_2026-05-15\articles\82_苏州教育云平台.md
85,面向未来教育 培训未来教师,未来教室,TypeID 34,6571,0,4,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=85,suzhou_djg_site_crawl_2026-05-15\articles\85_面向未来教育 培训未来教师.md
86,未来教室的主要特点,未来教室,TypeID 34,1121,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=86,suzhou_djg_site_crawl_2026-05-15\articles\86_未来教室的主要特点.md
87,苏州市“智慧校园”示范校建设项目,智慧校园,TypeID 35,1092,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=87,suzhou_djg_site_crawl_2026-05-15\articles\87_苏州市“智慧校园”示范校建设项目.md
88,苏州市“智慧校园”示范校建设指南,智慧校园,TypeID 35,3855,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=88,suzhou_djg_site_crawl_2026-05-15\articles\88_苏州市“智慧校园”示范校建设指南.md
89,关于召开苏州市智慧校园示范校项目,智慧校园,TypeID 35,520,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=89,suzhou_djg_site_crawl_2026-05-15\articles\89_关于召开苏州市智慧校园示范校项目.md
90,关于苏州市智慧校园示范校项目推进会,智慧校园,TypeID 35,251,0,9,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=90,suzhou_djg_site_crawl_2026-05-15\articles\90_关于苏州市智慧校园示范校项目推进会.md
91,关于召开苏州市智慧校园示范校项目“促进教学方式转变组”现场观摩研讨会,智慧校园,TypeID 35,305,0,14,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=91,suzhou_djg_site_crawl_2026-05-15\articles\91_关于召开苏州市智慧校园示范校项目“促进教学方式转变组”现场观摩研讨会.md
92,关于召开苏州市智慧校园示范项目“职教组”现场观摩,智慧校园,TypeID 35,313,0,8,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=92,suzhou_djg_site_crawl_2026-05-15\articles\92_关于召开苏州市智慧校园示范项目“职教组”现场观摩.md
93,2016年苏州市中小学电脑制作活动顺利开展,信息技能评比,TypeID 31,272,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=93,suzhou_djg_site_crawl_2026-05-15\articles\93_2016年苏州市中小学电脑制作活动顺利开展.md
94,常熟市“未来教室应用”种子教师上课展示研讨活动顺利开展,教育信息化科研,TypeID 30,701,0,5,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=94,suzhou_djg_site_crawl_2026-05-15\articles\94_常熟市“未来教室应用”种子教师上课展示研讨活动顺利开展.md
106,2016年高考标准化考场网络安全保障协调会,网络活动,网络活动,78,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=106,suzhou_djg_site_crawl_2026-05-15\articles\106_2016年高考标准化考场网络安全保障协调会.md
107,关于组织参加第七届“中国移动‘和教育’杯”全国教育技术论文活动的通知,信息技能评比,TypeID 31,369,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=107,suzhou_djg_site_crawl_2026-05-15\articles\107_关于组织参加第七届“中国移动‘和教育’杯”全国教育技术论文活动的通知.md
108,新视角 新体验——2016年苏州市幼儿园教学观摩研讨活动,教育信息化科研,TypeID 30,438,0,2,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=108,suzhou_djg_site_crawl_2026-05-15\articles\108_新视角 新体验——2016年苏州市幼儿园教学观摩研讨活动.md
112,高考网络维护,网络活动,网络活动,92,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=112,suzhou_djg_site_crawl_2026-05-15\articles\112_高考网络维护.md
288,全国语文审美课堂研讨会在“诗意”十中举行,图文报道,图文报道,547,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=288,suzhou_djg_site_crawl_2026-05-15\articles\288_全国语文审美课堂研讨会在“诗意”十中举行.md
289,三中：让教师“后团员”青年生活也精彩,图文报道,图文报道,501,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=289,suzhou_djg_site_crawl_2026-05-15\articles\289_三中：让教师“后团员”青年生活也精彩.md
290,第十七届中国教育电视奖 苏州载誉而归,图文报道,图文报道,657,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=290,suzhou_djg_site_crawl_2026-05-15\articles\290_第十七届中国教育电视奖 苏州载誉而归.md
291,市语委积极推动经典诵读活动,图文报道,图文报道,544,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=291,suzhou_djg_site_crawl_2026-05-15\articles\291_市语委积极推动经典诵读活动.md
292,2012年苏州市互动触摸式一体机教学应用研讨会成功举办,图文报道,图文报道,584,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=292,suzhou_djg_site_crawl_2026-05-15\articles\292_2012年苏州市互动触摸式一体机教学应用研讨会成功举办.md
293,市教育局举办基础教育论坛聚焦质量提升,图文报道,图文报道,547,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=293,suzhou_djg_site_crawl_2026-05-15\articles\293_市教育局举办基础教育论坛聚焦质量提升.md
294,市教育局举办基础教育论坛聚焦质量提升,图文报道,图文报道,546,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=294,suzhou_djg_site_crawl_2026-05-15\articles\294_市教育局举办基础教育论坛聚焦质量提升.md
295,2012年苏州市中学生英语口语电视比赛举行,图文报道,图文报道,419,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=295,suzhou_djg_site_crawl_2026-05-15\articles\295_2012年苏州市中学生英语口语电视比赛举行.md
296,“新媒体、新技术在中小学课堂教学中的应用”现场研讨会在张家港,图文报道,图文报道,343,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=296,suzhou_djg_site_crawl_2026-05-15\articles\296_“新媒体、新技术在中小学课堂教学中的应用”现场研讨会在张家港.md
297,2012年苏州市中学生英语口语电视比赛举行,图文报道,图文报道,419,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=297,suzhou_djg_site_crawl_2026-05-15\articles\297_2012年苏州市中学生英语口语电视比赛举行.md
298,“新媒体、新技术在中小学课堂教学中的应用”现场研讨会在张家港,图文报道,图文报道,343,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=298,suzhou_djg_site_crawl_2026-05-15\articles\298_“新媒体、新技术在中小学课堂教学中的应用”现场研讨会在张家港.md
299,省教育厅测评组专家调研“苏州教育”门户网站,图文报道,图文报道,565,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=299,suzhou_djg_site_crawl_2026-05-15\articles\299_省教育厅测评组专家调研“苏州教育”门户网站.md
300,2012苏州网络团队教研赛开赛,图文报道,图文报道,346,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=300,suzhou_djg_site_crawl_2026-05-15\articles\300_2012苏州网络团队教研赛开赛.md
301,苏州教育公共服务平台上线试运行启动,图文报道,图文报道,1019,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=301,suzhou_djg_site_crawl_2026-05-15\articles\301_苏州教育公共服务平台上线试运行启动.md
302,张家港市成功承办江苏省幼儿互动多媒体教学研讨活动,图文报道,图文报道,881,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=302,suzhou_djg_site_crawl_2026-05-15\articles\302_张家港市成功承办江苏省幼儿互动多媒体教学研讨活动.md
303,苏州电化教育馆门户网站正式开通：教育信息化工作一目了然,图文报道,图文报道,272,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=303,suzhou_djg_site_crawl_2026-05-15\articles\303_苏州电化教育馆门户网站正式开通：教育信息化工作一目了然.md
304,2013春季两类教材征订会议在电教馆召开,图文报道,图文报道,359,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=304,suzhou_djg_site_crawl_2026-05-15\articles\304_2013春季两类教材征订会议在电教馆召开.md
305,苏州电化教育馆门户网站正式开通：教育信息化工作一目了然,图文报道,图文报道,275,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=305,suzhou_djg_site_crawl_2026-05-15\articles\305_苏州电化教育馆门户网站正式开通：教育信息化工作一目了然.md
306,2013春季两类教材征订会议在电教馆召开,图文报道,图文报道,350,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=306,suzhou_djg_site_crawl_2026-05-15\articles\306_2013春季两类教材征订会议在电教馆召开.md
307,苏州市直属学校中小学“教育技术应用能手”评选启动,图文报道,图文报道,635,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=307,suzhou_djg_site_crawl_2026-05-15\articles\307_苏州市直属学校中小学“教育技术应用能手”评选启动.md
308,苏州市教育技术应用能手展示活动在昆山玉峰实验学校举行,图文报道,图文报道,200,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=308,suzhou_djg_site_crawl_2026-05-15\articles\308_苏州市教育技术应用能手展示活动在昆山玉峰实验学校举行.md
309,长三角千校网络再添“新盟友” 四校签约结对增合力,图文报道,图文报道,917,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=309,suzhou_djg_site_crawl_2026-05-15\articles\309_长三角千校网络再添“新盟友” 四校签约结对增合力.md
310,昆山校园电视节目制作研讨活动在千灯中心小学举行,图文报道,图文报道,204,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=310,suzhou_djg_site_crawl_2026-05-15\articles\310_昆山校园电视节目制作研讨活动在千灯中心小学举行.md
311,2013年苏州市电教系统馆长会议召开,图文报道,图文报道,526,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=311,suzhou_djg_site_crawl_2026-05-15\articles\311_2013年苏州市电教系统馆长会议召开.md
312,省幼儿互动多媒体教研活动在张家港举办,图文报道,图文报道,421,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=312,suzhou_djg_site_crawl_2026-05-15\articles\312_省幼儿互动多媒体教研活动在张家港举办.md
313,昆山市2013年教育技术工作会议顺利召开,图文报道,图文报道,377,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=313,suzhou_djg_site_crawl_2026-05-15\articles\313_昆山市2013年教育技术工作会议顺利召开.md
314,相城区中小学教技室主任会议在陆慕实验小学举行,图文报道,图文报道,497,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=314,suzhou_djg_site_crawl_2026-05-15\articles\314_相城区中小学教技室主任会议在陆慕实验小学举行.md
315,相城区小学生信息技术竞赛在陆慕实验小学顺利举行,图文报道,图文报道,188,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=315,suzhou_djg_site_crawl_2026-05-15\articles\315_相城区小学生信息技术竞赛在陆慕实验小学顺利举行.md
316,苏州工业园区教育信息化建设研讨会在园区文萃小学举行,图文报道,图文报道,385,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=316,suzhou_djg_site_crawl_2026-05-15\articles\316_苏州工业园区教育信息化建设研讨会在园区文萃小学举行.md
317,齐聚文萃 勾画蓝图——记园区信息技术中心组教研活动,图文报道,图文报道,385,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=317,suzhou_djg_site_crawl_2026-05-15\articles\317_齐聚文萃 勾画蓝图——记园区信息技术中心组教研活动.md
318,苏州市小学生信息技术竞赛在陆慕实验小学顺利举行,图文报道,图文报道,238,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=318,suzhou_djg_site_crawl_2026-05-15\articles\318_苏州市小学生信息技术竞赛在陆慕实验小学顺利举行.md
319,吴中区顺利召开学校教育技术工作会议,图文报道,图文报道,443,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=319,suzhou_djg_site_crawl_2026-05-15\articles\319_吴中区顺利召开学校教育技术工作会议.md
320,苏州小记者“点点，GO！”网站上线啦,图文报道,图文报道,684,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=320,suzhou_djg_site_crawl_2026-05-15\articles\320_苏州小记者“点点，GO！”网站上线啦.md
321,2013年园区新学期信息化工作会议在星港学校召开,图文报道,图文报道,899,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=321,suzhou_djg_site_crawl_2026-05-15\articles\321_2013年园区新学期信息化工作会议在星港学校召开.md
322,苏城教师电子白板展技艺,图文报道,图文报道,415,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=322,suzhou_djg_site_crawl_2026-05-15\articles\322_苏城教师电子白板展技艺.md
323,市教育局基层党组织书记中心组学习“两会”精神,图文报道,图文报道,415,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=323,suzhou_djg_site_crawl_2026-05-15\articles\323_市教育局基层党组织书记中心组学习“两会”精神.md
324,苏州校园网络电视台正式开播,图文报道,图文报道,495,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=324,suzhou_djg_site_crawl_2026-05-15\articles\324_苏州校园网络电视台正式开播.md
325,吴中区初中部分学科基于交互式电子白板教学评优活动圆满结束,图文报道,图文报道,521,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=325,suzhou_djg_site_crawl_2026-05-15\articles\325_吴中区初中部分学科基于交互式电子白板教学评优活动圆满结束.md
326,中央电教馆领导调研苏州电教工作,图文报道,图文报道,416,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=326,suzhou_djg_site_crawl_2026-05-15\articles\326_中央电教馆领导调研苏州电教工作.md
327,张家港市举办2013年教师教育技术能力培训班,图文报道,图文报道,392,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=327,suzhou_djg_site_crawl_2026-05-15\articles\327_张家港市举办2013年教师教育技术能力培训班.md
328,张家港市举办中小学、幼儿园电子白板培训活动,图文报道,图文报道,169,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=328,suzhou_djg_site_crawl_2026-05-15\articles\328_张家港市举办中小学、幼儿园电子白板培训活动.md
329,相城区召开全区中小学校管理员业务培训会议,图文报道,图文报道,152,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=329,suzhou_djg_site_crawl_2026-05-15\articles\329_相城区召开全区中小学校管理员业务培训会议.md
330,姑苏区开展SCRACTH专项培训，促进教师专业成长,图文报道,图文报道,431,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=330,suzhou_djg_site_crawl_2026-05-15\articles\330_姑苏区开展SCRACTH专项培训，促进教师专业成长.md
331,书海蕴理，耕耘存道——凌秋虹名师工作室开展物联网灌溉实验,图文报道,图文报道,282,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=331,suzhou_djg_site_crawl_2026-05-15\articles\331_书海蕴理，耕耘存道——凌秋虹名师工作室开展物联网灌溉实验.md
332,太仓市幼教互动电子白板教学评比在新区幼教中心娄江幼儿园,图文报道,图文报道,672,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=332,suzhou_djg_site_crawl_2026-05-15\articles\332_太仓市幼教互动电子白板教学评比在新区幼教中心娄江幼儿园.md
333,苏州高新区举办幼儿园信息技术应用技能评选活动,图文报道,图文报道,330,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=333,suzhou_djg_site_crawl_2026-05-15\articles\333_苏州高新区举办幼儿园信息技术应用技能评选活动.md
334,吴江区举行信息技术与课程整合优秀课评选活动,图文报道,图文报道,759,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=334,suzhou_djg_site_crawl_2026-05-15\articles\334_吴江区举行信息技术与课程整合优秀课评选活动.md
335,相城区初中信息技术与学科整合评优课活动,图文报道,图文报道,455,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=335,suzhou_djg_site_crawl_2026-05-15\articles\335_相城区初中信息技术与学科整合评优课活动.md
336,市电教馆召开“长三角千校网络结对”学校工作会议,图文报道,图文报道,756,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=336,suzhou_djg_site_crawl_2026-05-15\articles\336_市电教馆召开“长三角千校网络结对”学校工作会议.md
337,相城区信息技术与学科整合评优课活动在湘城小学举行,图文报道,图文报道,276,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=337,suzhou_djg_site_crawl_2026-05-15\articles\337_相城区信息技术与学科整合评优课活动在湘城小学举行.md
338,第三届苏州市中小学“教育技术应用能手”评选启动,图文报道,图文报道,415,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=338,suzhou_djg_site_crawl_2026-05-15\articles\338_第三届苏州市中小学“教育技术应用能手”评选启动.md
339,“点点GO”校园特约通讯站成立了！,图文报道,图文报道,292,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=339,suzhou_djg_site_crawl_2026-05-15\articles\339_“点点GO”校园特约通讯站成立了！.md
340,第二届“紫藤杯”苏州市中学生英语风采大赛完美收官,图文报道,图文报道,359,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=340,suzhou_djg_site_crawl_2026-05-15\articles\340_第二届“紫藤杯”苏州市中学生英语风采大赛完美收官.md
341,第三届苏州市中小学“教育技术应用能手”评选启动,图文报道,图文报道,415,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=341,suzhou_djg_site_crawl_2026-05-15\articles\341_第三届苏州市中小学“教育技术应用能手”评选启动.md
342,太仓市首期教育技术项目培训班结业展示活动,图文报道,图文报道,794,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=342,suzhou_djg_site_crawl_2026-05-15\articles\342_太仓市首期教育技术项目培训班结业展示活动.md
